transaction_id,expected_policies,expected_decision,fraud_group_id,is_closing
T-2579,,APPROVE,,false
T-1047,,APPROVE,,false
T-7578,,APPROVE,,false
T-1053,,APPROVE,,false
T-5405,,APPROVE,,false
T-5074,,APPROVE,,false
T-2522,,APPROVE,,false
T-3844,,APPROVE,,false
T-4445,FP-09,BLOCK,,false
T-4531,,APPROVE,,false
T-1657,,APPROVE,,false
T-6943,,APPROVE,,false
T-3194,,APPROVE,,false
T-5406,,APPROVE,,false
T-5398,,APPROVE,,false
T-7467,,APPROVE,,false
T-5618,,APPROVE,,false
T-4842,,APPROVE,,false
T-2924,,APPROVE,,false
T-2810,,APPROVE,,false
T-6248,,APPROVE,,false
T-5549,,APPROVE,,false
T-5407,,APPROVE,,false
T-3517,,APPROVE,,false
T-5946,,APPROVE,,false
T-1018,,APPROVE,,false
T-2987,,APPROVE,,false
T-5588,,APPROVE,,false
T-7273,,APPROVE,G-0001,false
T-7597,,APPROVE,G-0002,false
T-6160,,APPROVE,,false
T-6161,,APPROVE,,false
T-4442,,APPROVE,,false
T-6162,,APPROVE,,false
T-5321,,APPROVE,,false
T-6237,,APPROVE,,false
T-3197,,APPROVE,,false
T-3536,,APPROVE,,false
T-3281,,APPROVE,,false
T-1618,,APPROVE,,false
T-3599,,APPROVE,,false
T-1248,,APPROVE,,false
T-3945,,APPROVE,,false
T-2875,,APPROVE,,false
T-2245,,APPROVE,,false
T-1175,,APPROVE,,false
T-7117,,APPROVE,,false
T-2665,,APPROVE,,false
T-3518,,APPROVE,,false
T-5947,,APPROVE,,false
T-7805,,APPROVE,,false
T-1617,,APPROVE,,false
T-3856,,APPROVE,,false
T-5100,,APPROVE,,false
T-4671,,APPROVE,,false
T-7360,,APPROVE,,false
T-2760,FP-06,CHALLENGE,,false
T-4226,,APPROVE,,false
T-3933,,APPROVE,,false
T-5790,,APPROVE,,false
T-7274,,APPROVE,G-0001,false
T-7598,,APPROVE,G-0002,false
T-5558,,APPROVE,,false
T-5002,,APPROVE,G-0006,false
T-2110,,APPROVE,,false
T-5654,,APPROVE,,false
T-3848,,APPROVE,,false
T-7229,,APPROVE,G-0007,false
T-6936,,APPROVE,G-0003,false
T-7298,,APPROVE,,false
T-3687,,APPROVE,,false
T-4509,,APPROVE,,false
T-2746,,APPROVE,,false
T-4456,,APPROVE,,false
T-3012,,APPROVE,,false
T-3642,,APPROVE,,false
T-1523,,APPROVE,,false
T-6859,,APPROVE,,false
T-2697,,APPROVE,,false
T-3519,,APPROVE,,false
T-7476,FP-02,ESCALATE_TO_HUMAN,,false
T-5948,,APPROVE,,false
T-3473,,APPROVE,,false
T-1433,,APPROVE,,false
T-3474,,APPROVE,,false
T-3475,,APPROVE,,false
T-1217,,APPROVE,,false
T-1614,FP-02,ESCALATE_TO_HUMAN,,false
T-4170,,APPROVE,,false
T-7275,FP-11,BLOCK,G-0001,true
T-1384,,APPROVE,,false
T-7599,FP-11,BLOCK,G-0002,true
T-4040,,APPROVE,,false
T-6937,FP-05,ESCALATE_TO_HUMAN,G-0003,true
T-5559,,APPROVE,,false
T-6233,,APPROVE,,false
T-5003,,APPROVE,G-0006,false
T-5816,FP-08,ESCALATE_TO_HUMAN,,false
T-4544,,APPROVE,,false
T-5916,,APPROVE,,false
T-2131,,APPROVE,,false
T-2132,,APPROVE,,false
T-7230,,APPROVE,G-0007,false
T-5575,,APPROVE,G-0004,false
T-5576,,APPROVE,G-0004,false
T-2321,,APPROVE,,false
T-6121,,APPROVE,G-0005,false
T-6122,,APPROVE,G-0005,false
T-5577,FP-04,BLOCK,G-0004,true
T-6123,FP-04,BLOCK,G-0005,true
T-7852,,APPROVE,,false
T-5284,,APPROVE,,false
T-2386,,APPROVE,,false
T-5015,,APPROVE,,false
T-5151,,APPROVE,,false
T-5772,,APPROVE,,false
T-3355,,APPROVE,,false
T-5404,,APPROVE,,false
T-2777,,APPROVE,,false
T-6748,FP-02,ESCALATE_TO_HUMAN,,false
T-2433,,APPROVE,,false
T-7330,,APPROVE,,false
T-2454,,APPROVE,,false
T-2455,,APPROVE,,false
